Starting from v4.46, the `logits` model output will have the same type as the model (except at train time, where it will always be FP32)
step  443 | loss +0.0879 | reward 0.053 | solved   0.0%
step  444 | loss +0.0720 | reward 0.069 | solved   0.0%
step  445 | loss -0.0309 | reward 0.053 | solved   0.0%
step  446 | loss +0.0210 | reward 0.047 | solved   0.0%
step  447 | loss +0.0220 | reward 0.072 | solved   0.0%
step  448 | loss +0.0110 | reward 0.053 | solved   0.0%
step  449 | loss +0.0223 | reward 0.056 | solved   0.0%
step  450 | loss -0.0111 | reward 0.053 | solved   0.0%
step  451 | loss +0.0065 | reward 0.125 | solved   6.2%
step  452 | loss +0.6119 | reward 0.047 | solved   0.0%
step  453 | loss -0.0195 | reward 0.053 | solved   0.0%
step  454 | loss +0.1017 | reward 0.050 | solved   0.0%
step  455 | loss -0.0104 | reward 0.050 | solved   0.0%
